tick,time,steerCmd,brakeCmd,throttleCmd,distance1,distance2,distanc3,Location_X,Location_Y,Location_Z,Rotation_Pitch,Rotation_Yaw,Rotation_Roll,distance3
0,21:41:44:853,0.0,0.6212635636329651,0.6212635636329651,162.81870361886118,366.9080491842097,,-433.8999938964844,34.900001525878906,0.8809637427330017,0.0,0.0,0.0,581.1833185127254
1,21:41:44:878,0.0,0.6212635636329651,0.6212635636329651,162.81870361886118,366.9080491842097,,-433.8999938964844,34.900001525878906,0.8809637427330017,0.0,0.0,0.0,581.1833185127254
2,21:41:44:904,0.0,0.6212635636329651,0.6212635636329651,162.81934270450577,366.91101343695163,,-433.8999938964844,34.900001525878906,0.7915494441986084,0.0,0.0,0.0,581.1847283410339
3,21:41:44:930,0.0,0.6212635636329651,0.6212635636329651,162.82176600542888,366.92082412378744,,-433.8999938964844,34.900001525878906,0.5001736283302307,0.0,0.0,0.0,581.1894180009599
4,21:41:44:956,0.0,0.6212635636329651,0.6212635636329651,162.82289227654363,366.9248510685698,,-433.8999938964844,34.900001525878906,0.3825194537639618,0.0,0.0,0.0,581.1913530217564
5,21:41:44:991,0.0,0.6212635636329651,0.6212635636329651,162.82501990669357,366.9318392806012,,-433.8999938964844,34.900001525878906,0.18090637028217316,0.0,0.0,0.0,581.194724249035
6,21:41:45:017,0.0,0.6212635636329651,0.6212635636329651,162.82741457566598,366.9389879553683,,-433.8999938964844,34.900001525878906,-0.022110633552074432,0.0,0.0,0.0,581.1981896020959
7,21:41:45:047,0.0,0.6212635636329651,0.6212635636329651,162.8287072377384,366.94260551087166,,-433.8999938964844,34.900001525878906,-0.12365127354860306,0.0,0.0,0.0,581.1999494238718
8,21:41:45:078,0.0,0.6212635636329651,0.6212635636329651,162.82762404743747,366.9408462526737,,-433.8992919921875,34.89981460571289,-0.09400668740272522,0.10696075856685638,9.241868974640965e-05,-0.1824645847082138,581.1987332202119
9,21:41:45:104,0.0,0.6212635636329651,0.6212635636329651,162.8268887436257,366.93993880784484,,-433.8986511230469,34.89967727661133,-0.08649715036153793,0.20297954976558685,-0.0008239744929596782,-0.345611572265625,581.197962961026
10,21:41:45:135,0.0,0.6212635636329651,0.6212635636329651,162.82628700995082,366.93901560109356,,-433.8982238769531,34.89938735961914,-0.0725221261382103,0.27057793736457825,-0.0017700194148346782,-0.4521789252758026,581.1972952697262
11,21:41:45:182,0.0,0.6212635636329651,0.6212635636329651,162.8261922160546,366.9385757113748,,-433.8983154296875,34.89912414550781,-0.05754958838224411,0.2630852162837982,-0.0016784665640443563,-0.4325866401195526,581.1971291920098
12,21:41:45:207,0.0,0.6212635636329651,0.6212635636329651,162.8262414162606,366.93848977852946,,-433.8984375,34.899044036865234,-0.05169055983424187,0.2463444173336029,-0.0014343259390443563,-0.40316763520240784,581.1971503914083
13,21:41:45:237,0.0,0.6212635636329651,0.6212635636329651,162.8263537425657,366.93847088824486,,-433.89862060546875,34.898983001708984,-0.046002499759197235,0.22409848868846893,-0.0011291502742096782,-0.3655090034008026,581.1972355084162
14,21:41:45:267,0.0,0.6212635636329651,0.6212635636329651,162.82661596293815,366.93854035299665,,-433.89898681640625,34.898921966552734,-0.03764888644218445,0.18199720978736877,-0.0006713866605423391,-0.2963561713695526,581.1974577136682
15,21:41:45:302,0.0,0.6212635636329651,0.6212635636329651,162.82674656277058,366.93857349113875,,-433.899169921875,34.89889907836914,-0.033426590263843536,0.15660256147384644,-0.0004272460355423391,-0.255401611328125,581.1975680274879
16,21:41:45:332,0.0,0.6212635636329651,0.6212635636329651,162.82698515455291,366.9386887815367,,-433.89947509765625,34.89889144897461,-0.02808372490108013,0.1202249825000763,-0.00015258790517691523,-0.1974182277917862,581.1977809889434
17,21:41:45:366,0.0,0.6212635636329651,0.6212635636329651,162.82717755168315,366.9387852558089,,-433.89971923828125,34.89889144897461,-0.023928489536046982,0.08729664236307144,4.147199069848284e-05,-0.1452331393957138,581.197953408027
18,21:41:45:416,0.0,0.6212635636329651,0.6212635636329651,162.8273856028482,366.93892672936323,,-433.89996337890625,34.89890670776367,-0.021042900159955025,0.060979925096035004,0.0001507890410721302,-0.10357666015625,581.198147649604
19,21:41:45:452,0.0,0.6212635636329651,0.6212635636329651,162.82745789937186,366.93896356417474,,-433.9000549316406,34.89891815185547,-0.019504623487591743,0.04411618784070015,0.000201387723791413,-0.076690673828125,581.1982125930039
20,21:41:45:479,0.0,0.6212635636329651,0.6212635636329651,162.82754210334983,366.93903419824653,,-433.900146484375,34.898921966552734,-0.018917426466941833,0.03662347048521042,0.00021897695842199028,-0.0646362155675888,581.1982939833617
21,21:41:45:489,0.0,0.6212635636329651,0.6212635636329651,162.8275687924528,366.9390537548483,,-433.9001770019531,34.898921966552734,-0.018609046936035156,0.032149698585271835,0.0002280678745592013,-0.0573730394244194,581.1983191799046
22,21:41:45:536,0.0,0.6212635636329651,0.6212635636329651,162.82762632979433,366.9391048914867,,-433.9002380371094,34.89892578125,-0.018331870436668396,0.026740189641714096,0.00023759700707159936,-0.048553466796875,581.1983754026022
23,21:41:45:562,0.0,0.6212635636329651,0.6212635636329651,162.82768248559094,366.9391524401591,,-433.9002990722656,34.89894104003906,-0.017955664545297623,0.015955321490764618,0.00025183302932418883,-0.03063964657485485,581.1984298456066
24,21:41:45:590,0.0,0.6212635636329651,0.6212635636329651,162.82771224017583,366.93918089102465,,-433.90032958984375,34.89894485473633,-0.017898673191666603,0.010846340097486973,0.0002563643211033195,-0.02191162109375,581.1984593513989
25,21:41:45:617,0.0,0.6212635636329651,0.6212635636329651,162.82777412170987,366.9392443387252,,-433.900390625,34.89894485473633,-0.017967795953154564,0.008763132616877556,0.0002577550185378641,-0.01824950985610485,581.198521567697
26,21:41:45:645,0.0,0.6212635636329651,0.6212635636329651,162.82777508614893,366.93924722214706,,-433.900390625,34.898948669433594,-0.018049774691462517,0.00706924544647336,0.0002587056078482419,-0.015228272415697575,581.198522956457
27,21:41:45:678,0.0,0.6212635636329651,0.6212635636329651,162.82780714558092,366.93928214802247,,-433.9004211425781,34.898948669433594,-0.018174590542912483,0.004596717189997435,0.00025983748491853476,-0.010681151412427425,581.1985556203317
28,21:41:45:707,0.0,0.6212635636329651,0.6212635636329651,162.82780927378684,366.9392883621438,,-433.9004211425781,34.89895248413086,-0.018350448459386826,0.0030189433600753546,0.0002603508473839611,-0.007629394065588713,581.1985586273461
29,21:41:45:733,0.0,0.6212635636329651,0.6212635636329651,162.8278093730912,366.93928864636825,,-433.9004211425781,34.89895248413086,-0.018358459696173668,0.0029574716463685036,0.00026035463088192046,-0.007476806174963713,581.198558765439
30,21:41:45:759,0.0,0.6212635636329651,0.6212635636329651,162.82781012118406,366.9392906648707,,-433.9004211425781,34.898948669433594,-0.018414650112390518,0.002629622584208846,0.00026038283249363303,-0.006652831565588713,581.1985597583108
31,21:41:45:784,0.0,0.6212635636329651,0.6212635636329651,162.82781012118406,366.9392906648707,,-433.9004211425781,34.898948669433594,-0.018414650112390518,0.002629622584208846,0.00026038283249363303,-0.006652831565588713,581.1985597583108
32,21:41:45:809,0.0,0.6212635636329651,0.6212635636329651,162.82781012118406,366.9392906648707,,-433.9004211425781,34.898948669433594,-0.018414650112390518,0.002629622584208846,0.00026038283249363303,-0.006652831565588713,581.1985597583108
33,21:41:45:851,0.0,0.6212635636329651,0.6212635636329651,162.82781284929317,366.9392985951934,,-433.9004211425781,34.89895248413086,-0.01863887719810009,0.0016665661241859198,0.0002605461922939867,-0.00433349609375,581.1985635991783
34,21:41:45:878,0.0,0.6212635636329651,0.6212635636329651,162.82781365750142,366.9393011533144,,-433.9004211425781,34.89896011352539,-0.01871238648891449,0.0012294340413063765,0.0002606140624266118,-0.0032958982046693563,581.1985648177447
35,21:41:45:905,0.0,0.6212635636329651,0.6212635636329651,162.82781418861762,366.9393026732094,,-433.9004211425781,34.89896011352539,-0.018755225464701653,0.0010381886968389153,0.00026064019766636193,-0.0028076169546693563,581.1985655562054
36,21:41:45:933,0.0,0.6212635636329651,0.6212635636329651,162.82781504232062,366.9393051161939,,-433.9004211425781,34.89896011352539,-0.018824081867933273,0.0007649811450392008,0.00026067436556331813,-0.002166748046875,581.1985667431626
37,21:41:45:962,0.0,0.6212635636329651,0.6212635636329651,162.82781589602965,366.9393075591252,,-433.9004211425781,34.89896011352539,-0.018892936408519745,0.0006420377176254988,0.00026068597799167037,-0.001861572265625,581.1985679300958
38,21:41:45:988,0.0,0.6212635636329651,0.6212635636329651,162.82781687087436,366.93931022601686,,-433.9004211425781,34.898956298828125,-0.01896739937365055,0.00045762263471260667,0.000260703731328249,-0.0014343260554596782,581.1985692380096
39,21:41:46:013,0.0,0.6212635636329651,0.6212635636329651,162.82781687087436,366.93931022601686,,-433.9004211425781,34.898956298828125,-0.01896739937365055,0.00045762263471260667,0.000260703731328249,-0.0014343260554596782,581.1985692380096
40,21:41:46:053,0.0,0.6212635636329651,0.6212635636329651,162.82784919592177,366.93934578760894,,-433.90045166015625,34.89895248413086,-0.019109420478343964,0.00023222641902975738,0.00026072049513459206,-0.0008850097074173391,581.1986022229681
41,21:41:46:060,0.0,0.6212635636329651,0.6212635636329651,162.82784958145365,366.9393467681255,,-433.90045166015625,34.898948669433594,-0.019136352464556694,0.00018441509746480733,0.0002606597845442593,-0.000732421875,581.198602711533
42,21:41:46:086,0.0,0.6212635636329651,0.6212635636329651,162.82784968031163,366.9393470509793,,-433.90045166015625,34.898948669433594,-0.019144324585795403,0.00014343396469485015,0.0002606381312943995,-0.000640869140625,581.1986028489624
43,21:41:46:112,0.0,0.6212635636329651,0.6212635636329651,162.82784930518463,366.939345977656,,-433.90045166015625,34.898948669433594,-0.019114073365926743,0.00010245283192489296,0.0002606344933155924,-0.0005187987699173391,581.1986023274696
44,21:41:46:121,0.0,0.6212635636329651,0.6212635636329651,162.82784930518463,366.939345977656,,-433.90045166015625,34.898948669433594,-0.019114073365926743,0.00010245283192489296,0.0002606344933155924,-0.0005187987699173391,581.1986023274696
45,21:41:46:166,0.0,0.6212635636329651,0.6212635636329651,162.82784927019216,366.9393458775339,,-433.90045166015625,34.898948669433594,-0.019111251458525658,6.147169915493578e-05,0.00026063527911901474,-0.00039672848652116954,581.1986022788236
46,21:41:46:216,0.0,0.6212635636329651,0.6212635636329651,162.8278496817437,366.93934705507667,,-433.90045166015625,34.898948669433594,-0.019144440069794655,6.147169915493578e-05,0.00026063527911901474,-0.00039672848652116954,581.1986028509533
47,21:41:46:223,0.0,0.6212635636329651,0.6212635636329651,162.82784952987674,366.9393466205526,,-433.90045166015625,34.898948669433594,-0.01913219317793846,2.0490566384978592e-05,0.0002606362395454198,-0.000274658203125,581.1986026398321
48,21:41:46:249,0.0,0.6212635636329651,0.6212635636329651,162.82784915666906,366.93934555271557,,-433.90045166015625,34.898948669433594,-0.019102096557617188,2.0490566384978592e-05,0.0002606362395454198,-0.000274658203125,581.198602121005
49,21:41:46:276,0.0,0.6212635636329651,0.6212635636329651,162.8278492139168,366.9393455939343,,-433.90045166015625,34.89894485473633,-0.0191025547683239,2.0490566384978592e-05,0.0002606362395454198,-0.000274658203125,581.1986021531959
50,21:41:46:301,0.0,0.6212635636329651,0.6212635636329651,162.82784938040214,366.9393460702906,,-433.90045166015625,34.89894485473633,-0.019115980714559555,-3.415094397496432e-05,0.0002606352500151843,-0.00018310546875,581.1986023846417
51,21:41:46:350,0.0,0.6212635636329651,0.6212635636329651,162.82784958051866,366.9393466428704,,-433.90045166015625,34.89894485473633,-0.019132118672132492,-3.415094397496432e-05,0.0002606352500151843,-0.00018310546875,581.1986026628396
52,21:41:46:374,0.0,0.6212635636329651,0.6212635636329651,162.82784958051866,366.9393466428704,,-433.90045166015625,34.89894485473633,-0.019132118672132492,-3.415094397496432e-05,0.0002606352500151843,-0.00018310546875,581.1986026628396
53,21:41:46:399,0.0,0.6212635636329651,0.6212635636329651,162.82784971626342,366.9393470312655,,-433.90045166015625,34.89894485473633,-0.019143065437674522,-3.415094397496432e-05,0.0002606352500151843,-0.00018310546875,581.1986028515482
54,21:41:46:426,0.0,0.6212635636329651,0.6212635636329651,162.82784942488775,366.93934619757454,,-433.90045166015625,34.89894485473633,-0.019119568169116974,-6.147169915493578e-05,0.0002606330090202391,-6.103515261202119e-05,581.1986024464849
55,21:41:46:453,0.0,0.6212635636329651,0.6212635636329651,162.82784932554594,366.9393459133335,,-433.90045166015625,34.89894485473633,-0.01911155693233013,-6.147169915493578e-05,0.0002606330090202391,-6.103515261202119e-05,581.1986023083815
56,21:41:46:473,0.0,0.6212635636329651,0.6212635636329651,162.82784939176608,366.9393461028055,,-433.90045166015625,34.89894485473633,-0.019116897135972977,-6.147169915493578e-05,0.0002606330090202391,-6.103515261202119e-05,581.1986024004397
57,21:41:46:500,0.0,0.6212635636329651,0.6212635636329651,162.8278494414255,366.939346244893,,-433.90045166015625,34.89894485473633,-0.019120901823043823,-6.147169915493578e-05,0.0002606330090202391,-6.103515261202119e-05,581.1986024694753
58,21:41:46:525,0.0,0.6212635636329651,0.6212635636329651,162.8278494414255,366.939346244893,,-433.90045166015625,34.89894485473633,-0.019120901823043823,-6.147169915493578e-05,0.0002606330090202391,-6.103515261202119e-05,581.1986024694753
59,21:41:46:560,0.0,0.6212635636329651,0.6212635636329651,162.82784938134915,366.93934607300014,,-433.90045166015625,34.89894485473633,-0.019116057083010674,-6.147169915493578e-05,0.0002606330090202391,-6.103515261202119e-05,581.1986023859582
60,21:41:46:594,0.0,0.6212635636329651,0.6212635636329651,162.82784948826716,366.9393463789179,,-433.90045166015625,34.89894485473633,-0.019124679267406464,-6.147169915493578e-05,0.0002606330090202391,-6.103515261202119e-05,581.1986025345936
61,21:41:46:608,0.0,0.6212635636329651,0.6212635636329651,162.82784948826716,366.9393463789179,,-433.90045166015625,34.89894485473633,-0.019109191372990608,-6.147169915493578e-05,0.0002606330090202391,-6.103515261202119e-05,581.1986025345936
62,21:41:46:636,0.0,0.6212635636329651,0.6212635636329651,162.8278494371756,366.93934623273293,,-433.90045166015625,34.89894485473633,-0.019120559096336365,-6.147169915493578e-05,0.0002606330090202391,-6.103515261202119e-05,581.1986024635672
63,21:41:46:661,0.0,0.6212635636329651,0.6212635636329651,162.82784966140645,366.9393468743081,,-433.90045166015625,34.89894485473633,-0.0191386416554451,-6.147169915493578e-05,0.0002606330090202391,-6.103515261202119e-05,581.1986027752877
64,21:41:46:686,0.0,0.6212635636329651,0.6212635636329651,162.82784966140645,366.9393468743081,,-433.90045166015625,34.89894485473633,-0.0191386416554451,-6.147169915493578e-05,0.0002606330090202391,-6.103515261202119e-05,581.1986027752877
65,21:41:46:710,0.0,0.6212635636329651,0.6212635636329651,162.827849849676,366.93934741298614,,-433.90045166015625,34.89894485473633,-0.01915382407605648,-6.147169915493578e-05,0.0002606330090202391,-6.103515261202119e-05,581.1986030370139
